date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-04-06,94.2362,64.9862,-29.25,29.25,23.7362,-70.5,70.5,65.6982,-28.538,28.538,61.1091,-33.1271,33.1271
2025-04-07,87.9304,94.2362,6.3058,6.3058,35.8892,-52.0412,52.0412,91.1981,3.2677,3.2677,75.5425,-12.3879,12.3879
2025-04-08,78.625,87.9304,9.3054,9.3054,55.6525,-22.9725,22.9725,80.2895,1.6645,1.6645,68.3341,-10.2909,10.2909
2025-04-09,62.3475,78.625,16.2775,16.2775,101.4721,39.1246,39.1246,75.7633,13.4158,13.4158,59.4458,-2.9017,2.9017
2025-04-10,57.375,62.3475,4.9725,4.9725,90.3475,32.9725,32.9725,62.7532,5.3782,5.3782,49.2306,-8.1444,8.1444
2025-04-11,64.4583,57.375,-7.0833,7.0833,72.8612,8.4029,8.4029,60.4311,-4.0273,4.0273,48.9563,-15.502,15.502
2025-04-12,78.375,64.4583,-13.9167,13.9167,64.9862,-13.3888,13.3888,66.0934,-12.2816,12.2816,52.2511,-26.1239,26.1239
2025-04-13,65.5554,78.375,12.8196,12.8196,94.2362,28.6808,28.6808,76.5965,11.0411,11.0411,59.0602,-6.4952,6.4952
2025-04-14,84.7225,65.5554,-19.1671,19.1671,87.9304,3.2079,3.2079,63.6758,-21.0467,21.0467,68.4965,-16.226,16.226
2025-04-15,100.3054,84.7225,-15.5829,15.5829,78.625,-21.6804,21.6804,83.6613,-16.6442,16.6442,84.0619,-16.2435,16.2435
2025-04-16,113.3333,100.3054,-13.0279,13.0279,62.3475,-50.9858,50.9858,93.1021,-20.2312,20.2312,88.548,-24.7853,24.7853
2025-04-17,67.4029,113.3333,45.9304,45.9304,57.375,-10.0279,10.0279,103.6034,36.2005,36.2005,91.8132,24.4102,24.4102
